epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.73054,1.43614,2.35473,26.5889,0.94113,0.09874,0.1641,0.04616,0.02723,0.09977,0.1674,0.0503,0.02447,1.38301,2.91963,3.18456,0.95974,8e-05,8e-05,8e-05
2,7.16893,1.69048,2.88581,3.44806,1.08155,0.08059,0.30837,0.08886,0.03582,0.01504,0.2511,0.01389,0.00674,1.85643,8.22703,32.8776,1.08763,0.000178218,0.000178218,0.000178218
3,11.2097,1.87453,5.28351,9.38938,1.13174,0.01712,0.35242,0.0112,0.00486,0.01188,0.26872,0.01245,0.00408,1.74717,9.94011,74.8245,1.08997,0.000274456,0.000274456,0.000274456
4,15.159,1.84111,2.85935,3.44064,1.00711,0.00079,0.01762,0.00039,0.0001,0.00138,0.03084,0.00068,0.00019,2.77001,nan,inf,2.25387,0.000368714,0.000368714,0.000368714
5,19.0933,1.95499,2.68595,3.10114,1.11301,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.000460992,0.000460992,0.000460992
6,23.1406,1.75921,2.63686,2.95,1.03481,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00055129,0.00055129,0.00055129
7,27.11,1.65222,2.65258,2.1871,1.04995,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.000639608,0.000639608,0.000639608
8,30.9913,1.85889,2.54793,2.27463,1.02679,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.000725946,0.000725946,0.000725946
9,35.1546,1.72296,2.67527,2.33821,1.00061,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.000810304,0.000810304,0.000810304
10,39.0043,1.71626,2.1169,2.15984,0.98753,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.000892682,0.000892682,0.000892682
11,42.8745,1.84141,2.48278,2.06176,1.05757,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00097308,0.00097308,0.00097308
12,46.7182,1.80036,2.31842,2.58486,1.00601,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0010515,0.0010515,0.0010515
13,50.5531,1.77083,2.44328,2.22746,1.08373,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00112794,0.00112794,0.00112794
14,54.4261,1.84047,2.55266,2.37923,1.08291,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00120239,0.00120239,0.00120239
15,58.2901,1.80842,2.20507,2.52615,1.04321,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00127487,0.00127487,0.00127487
16,62.3719,1.72074,2.13404,3.82622,1.02108,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00134537,0.00134537,0.00134537
17,66.2466,1.87349,2.39234,2.48083,1.03001,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00141389,0.00141389,0.00141389
18,70.0841,1.78354,2.12817,2.61606,1.04653,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00148043,0.00148043,0.00148043
19,74.1638,1.42333,1.92158,7.27865,0.83702,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00154498,0.00154498,0.00154498
20,78.0712,1.78582,2.13159,2.52139,0.997,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00160756,0.00160756,0.00160756
21,81.936,1.89801,2.49745,2.40202,1.02575,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.001604,0.001604,0.001604
22,85.9241,1.88437,2.41516,2.10877,1.01498,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0015842,0.0015842,0.0015842
23,89.7749,1.65675,2.34856,2.76232,0.96539,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0015644,0.0015644,0.0015644
24,93.654,1.80615,2.13852,2.43488,1.05428,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0015446,0.0015446,0.0015446
25,97.4763,1.72111,1.99965,2.37361,0.97433,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0015248,0.0015248,0.0015248
26,101.301,1.77933,2.34082,2.05076,1.05588,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.001505,0.001505,0.001505
27,105.203,1.64374,2.05619,17.4442,0.94324,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0014852,0.0014852,0.0014852
28,109.1,2.33384,2.99958,2.73231,1.36246,0.07692,0.11013,0.01924,0.00921,0.06737,0.10132,0.01765,0.00867,nan,nan,nan,nan,0.0014654,0.0014654,0.0014654
29,112.962,1.90865,2.12845,2.23573,1.07692,0.15082,0.33921,0.11219,0.05293,0.14197,0.30837,0.09382,0.03461,1.68021,2.66608,2.15011,1.07993,0.0014456,0.0014456,0.0014456
30,117.2,1.83704,2.36406,2.10954,1.05219,0.13901,0.34802,0.10562,0.04743,0.13668,0.29515,0.09624,0.04224,1.79204,2.51619,2.16155,1.13241,0.0014258,0.0014258,0.0014258
31,121.442,1.41285,1.79127,14.3735,0.80034,0.14026,0.35683,0.11037,0.0514,0.13354,0.26887,0.09101,0.03226,1.74153,2.57085,2.36053,1.08695,0.001406,0.001406,0.001406
32,125.367,1.94469,2.38264,2.07478,1.02548,0.15863,0.39648,0.11867,0.05557,0.14525,0.34361,0.0983,0.03392,1.85531,2.34406,2.11713,1.20647,0.0013862,0.0013862,0.0013862
